elements_base;emplacement;bg;elfinal
1;0.2, 0.12;data/images/bg/bg_niv1.png;15
1;0.05, 0.05;;
1;0.08, 0.06;;
1;0.23, 0.24;;
1;0.23, 0.05;;
1;0.12, 0.14;;
1;0.02, 0.12;;
1;0.18, 0.21;;
1;0.94, 0.85;;
1;0.86, 0.92;;
1;0.97, 0.06;;
1;0.90, 0.07;;
1;0.94, 0.16;;
1;0.97, 0.25;;
1;0.81, 0.05;;
1;0.87, 0.15;;
1;0.3, 0.07;;
1;0.3, 0.3;;
1;0.35, 0.2;;
3;0.66, 0.85;;
3;0.56, 0.42;;
3;0.91, 0.73;;
3;0.77, 0.67;;
7;0.85, 0.7;;
12;0.4, 0.2;;
14;0.7, 0.4;;
13;0.79, 0.55;;
4;0.41, 0.05;;
4;0.39, 0.16;;
10;0.54, 0.68;;
9;0.86, 0.55;;
6;0.85, 0.43;;
6;0.90, 0.47;;
5;0.5, 0.08;;
5;0.43, 0.1;;
5;0.48, 0.17;;
12;0.7, 0.7;;
1;0., 0.;;
1;0., 0.;;
1;0., 0.;;
1;0., 0.;;
1;0., 0.;;
1;0., 0.;;
1;0., 0.;;
1;0., 0.;;
17;0.55, 0.55;;
